date,Paris_weather,Paris_min,Paris_max,Paris_avg,tweetCount,replyCount,retweetCount,likeCount,quoteCount,reactions,replyAvg,retweetAvg,likeAvg,quoteAvg,reactionsAvg,contest
2020-03-27,3,5,13,9.0,10,33,36,353,2,424,3.3,3.6,35.3,0.2,42.4,0
2020-03-28,3,8,16,12.0,11,43,69,574,10,696,3.9,6.3,52.2,0.9,63.3,0
2020-03-29,2,4,8,6.0,6,34,28,295,4,361,5.7,4.7,49.2,0.7,60.2,0
2020-03-30,3,0,8,4.0,13,60,61,653,3,777,4.6,4.7,50.2,0.2,59.8,0
2020-03-31,3,2,10,6.0,12,30,32,277,5,344,2.5,2.7,23.1,0.4,28.7,0
2020-04-01,3,5,15,10.0,12,182,80,577,15,854,15.2,6.7,48.1,1.2,71.2,0
2020-04-02,3,4,10,7.0,17,126,240,1739,20,2125,7.4,14.1,102.3,1.2,125.0,0
2020-04-03,2,7,14,10.5,12,19,80,527,3,629,1.6,6.7,43.9,0.2,52.4,0
2020-04-04,3,7,16,11.5,5,8,15,178,0,201,1.6,3.0,35.6,0.0,40.2,0
2020-04-05,3,10,20,15.0,5,21,95,952,4,1072,4.2,19.0,190.4,0.8,214.4,0
2020-04-06,3,8,15,11.5,16,18,44,314,4,380,1.1,2.8,19.6,0.2,23.8,0
2020-04-07,2,10,21,15.5,8,39,34,350,5,428,4.9,4.2,43.8,0.6,53.5,0
2020-04-08,3,13,25,19.0,10,25,36,318,0,379,2.5,3.6,31.8,0.0,37.9,0
2020-04-09,3,16,25,20.5,13,41,30,309,1,381,3.2,2.3,23.8,0.1,29.3,0
2020-04-10,3,15,24,19.5,11,58,290,1849,35,2232,5.3,26.4,168.1,3.2,202.9,0
2020-04-11,3,16,25,20.5,4,10,10,116,1,137,2.5,2.5,29.0,0.2,34.2,0
2020-04-12,3,16,23,19.5,5,15,46,367,3,431,3.0,9.2,73.4,0.6,86.2,0
2020-04-13,2,9,16,12.5,9,18,22,211,0,251,2.0,2.4,23.4,0.0,27.9,0
2020-04-14,3,4,13,8.5,6,32,17,173,0,222,5.3,2.8,28.8,0.0,37.0,0
2020-04-15,3,7,18,12.5,9,12,33,261,1,307,1.3,3.7,29.0,0.1,34.1,0
2020-04-16,3,13,23,18.0,4,17,54,418,2,491,4.2,13.5,104.5,0.5,122.8,0
2020-04-17,0,15,24,19.5,6,68,96,1080,7,1251,11.3,16.0,180.0,1.2,208.5,0
2020-04-18,3,15,22,18.5,4,14,23,171,0,208,3.5,5.8,42.8,0.0,52.0,0
2020-04-19,3,11,20,15.5,5,22,45,454,1,522,4.4,9.0,90.8,0.2,104.4,0
2020-04-20,3,12,19,15.5,14,70,172,899,10,1151,5.0,12.3,64.2,0.7,82.2,0
2020-04-21,3,12,19,15.5,10,206,93,828,22,1149,20.6,9.3,82.8,2.2,114.9,0
2020-04-22,3,13,21,17.0,9,87,361,2666,24,3138,9.7,40.1,296.2,2.7,348.7,0
2020-04-23,3,16,26,21.0,6,29,109,832,6,976,4.8,18.2,138.7,1.0,162.7,0
2020-04-24,3,16,24,20.0,7,3081,33995,14760,631,52467,440.1,4856.4,2108.6,90.1,7495.3,1
2020-04-25,3,12,21,16.5,5,14,46,546,1,607,2.8,9.2,109.2,0.2,121.4,0
2020-04-26,3,12,24,18.0,6,62,281,1279,13,1635,10.3,46.8,213.2,2.2,272.5,0
2020-04-27,3,14,23,18.5,14,33,183,704,4,924,2.4,13.1,50.3,0.3,66.0,0
2020-04-28,2,13,18,15.5,13,8,60,408,2,478,0.6,4.6,31.4,0.2,36.8,0
2020-04-29,2,11,15,13.0,5,1007,949,1367,39,3362,201.4,189.8,273.4,7.8,672.4,0
2020-04-30,2,10,14,12.0,6,13,44,348,0,405,2.2,7.3,58.0,0.0,67.5,0
2020-05-01,2,10,15,12.5,7,98,512,1717,23,2350,14.0,73.1,245.3,3.3,335.7,1
2020-05-02,2,9,17,13.0,3,22,42,229,1,294,7.3,14.0,76.3,0.3,98.0,0
2020-05-03,2,11,18,14.5,7,78,572,2153,26,2829,11.1,81.7,307.6,3.7,404.1,1
2020-05-04,3,13,20,16.5,5,180,70,734,9,993,36.0,14.0,146.8,1.8,198.6,0
2020-05-05,2,10,15,12.5,8,672,534,2706,62,3974,84.0,66.8,338.2,7.8,496.8,0
2020-05-06,3,11,19,15.0,7,482,960,2717,40,4199,68.9,137.1,388.1,5.7,599.9,0
2020-05-07,3,13,21,17.0,14,37,123,922,7,1089,2.6,8.8,65.9,0.5,77.8,0
2020-05-08,3,13,23,18.0,5,17,26,257,6,306,3.4,5.2,51.4,1.2,61.2,0
2020-05-09,1,17,23,20.0,4,7,12,155,2,176,1.8,3.0,38.8,0.5,44.0,0
2020-05-10,3,16,22,19.0,7,17,34,563,4,618,2.4,4.9,80.4,0.6,88.3,0
2020-05-11,3,8,15,11.5,10,137,242,1442,11,1832,13.7,24.2,144.2,1.1,183.2,0
2020-05-12,2,6,14,10.0,9,25,63,444,3,535,2.8,7.0,49.3,0.3,59.4,0
2020-05-13,3,7,15,11.0,8,79,112,917,21,1129,9.9,14.0,114.6,2.6,141.1,0
2020-05-14,3,6,15,10.5,10,40,25,301,2,368,4.0,2.5,30.1,0.2,36.8,0
2020-05-15,3,7,16,11.5,8,134,436,2381,28,2979,16.8,54.5,297.6,3.5,372.4,0
2020-05-16,3,9,19,14.0,5,69,56,361,8,494,13.8,11.2,72.2,1.6,98.8,0
2020-05-17,3,10,22,16.0,7,49,92,647,4,792,7.0,13.1,92.4,0.6,113.1,0
2020-05-18,3,13,23,18.0,6,51,61,809,1,922,8.5,10.2,134.8,0.2,153.7,0
2020-05-19,3,13,24,18.5,6,18,19,196,1,234,3.0,3.2,32.7,0.2,39.0,0
2020-05-20,3,15,26,20.5,5,24,27,279,4,334,4.8,5.4,55.8,0.8,66.8,0
2020-05-21,3,19,29,24.0,5,31,36,335,3,405,6.2,7.2,67.0,0.6,81.0,0
2020-05-22,3,18,25,21.5,5,26,28,503,0,557,5.2,5.6,100.6,0.0,111.4,0
2020-05-23,2,15,19,17.0,5,5,14,146,0,165,1.0,2.8,29.2,0.0,33.0,0
2020-05-24,3,12,19,15.5,5,26,30,473,3,532,5.2,6.0,94.6,0.6,106.4,0
