,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
21,22/02/2018,0°C/5°C,-2°C/5°C,0°C/5°C,-2°C/5°C,0°C/5°C
22,23/02/2018,0°C/4°C,-2°C/4°C,0°C/4°C,-2°C/4°C,0°C/4°C
23,24/02/2018,0°C/5°C,-2°C/5°C,0°C/5°C,-2°C/5°C,0°C/5°C
24,25/02/2018,-1°C/3°C,-2°C/3°C,-1°C/3°C,-2°C/3°C,-1°C/3°C
25,26/02/2018,-3°C/-0°C,-4°C/-0°C,-3°C/0°C,-4°C/-0°C,-3°C/-0°C
26,27/02/2018,-4°C/-2°C,-6°C/-2°C,-4°C/-2°C,-6°C/-2°C,-4°C/-2°C
27,28/02/2018,-5°C/-1°C,-7°C/-1°C,-5°C/-1°C,-8°C/-1°C,-5°C/-1°C
28,01/12/2018,7°C/11°C,6°C/11°C,7°C/10°C,5°C/10°C,8°C/11°C
29,02/12/2018,14°C/15°C,12°C/15°C,11°C/14°C,11°C/14°C,14°C/15°C
30,03/12/2018,12°C/14°C,11°C/14°C,11°C/14°C,11°C/14°C,13°C/14°C
31,04/12/2018,8°C/11°C,9°C/11°C,10°C/11°C,8°C/11°C,9°C/11°C
32,05/12/2018,9°C/11°C,8°C/11°C,9°C/11°C,7°C/11°C,9°C/11°C
33,06/12/2018,11°C/13°C,11°C/13°C,11°C/13°C,10°C/13°C,11°C/13°C
34,07/12/2018,9°C/12°C,8°C/12°C,11°C/12°C,7°C/12°C,10°C/12°C
35,08/12/2018,9°C/12°C,7°C/12°C,8°C/13°C,7°C/13°C,9°C/12°C
36,09/12/2018,9°C/11°C,8°C/11°C,10°C/11°C,8°C/11°C,10°C/11°C
37,10/12/2018,7°C/10°C,6°C/10°C,7°C/10°C,5°C/10°C,7°C/10°C
38,11/12/2018,6°C/8°C,5°C/8°C,5°C/7°C,4°C/7°C,6°C/8°C
39,12/12/2018,1°C/5°C,1°C/4°C,1°C/4°C,-0°C/4°C,2°C/5°C
40,13/12/2018,0°C/3°C,-0°C/3°C,1°C/3°C,-1°C/3°C,1°C/3°C
41,14/12/2018,-1°C/2°C,-2°C/1°C,-1°C/2°C,-2°C/2°C,-1°C/2°C
42,15/12/2018,-1°C/2°C,-2°C/2°C,-1°C/2°C,-2°C/2°C,-1°C/2°C
43,16/12/2018,2°C/5°C,2°C/5°C,2°C/5°C,1°C/5°C,2°C/5°C
44,17/12/2018,4°C/7°C,3°C/7°C,4°C/7°C,3°C/7°C,4°C/7°C
45,18/12/2018,5°C/8°C,5°C/8°C,4°C/8°C,3°C/8°C,5°C/8°C
46,19/12/2018,8°C/9°C,7°C/9°C,8°C/10°C,7°C/10°C,8°C/9°C
47,20/12/2018,7°C/9°C,6°C/9°C,7°C/9°C,6°C/9°C,6°C/9°C
48,21/12/2018,12°C/15°C,9°C/14°C,13°C/14°C,9°C/14°C,9°C/14°C
49,22/12/2018,10°C/12°C,9°C/12°C,10°C/12°C,9°C/12°C,10°C/11°C
50,01/11/2018,8°C/11°C,10°C/12°C,9°C/12°C,10°C/11°C,8°C/11°C
51,02/11/2018,6°C/11°C,9°C/11°C,6°C/11°C,8°C/11°C,6°C/11°C
52,03/11/2018,4°C/10°C,6°C/11°C,3°C/11°C,7°C/10°C,8°C/13°C
53,04/11/2018,5°C/12°C,8°C/13°C,5°C/13°C,8°C/12°C,12°C/18°C
54,05/11/2018,9°C/16°C,12°C/18°C,8°C/18°C,11°C/17°C,13°C/19°C
55,06/11/2018,11°C/17°C,15°C/19°C,11°C/19°C,14°C/18°C,10°C/13°C
56,07/11/2018,10°C/13°C,10°C/12°C,10°C/12°C,10°C/13°C,8°C/12°C
57,08/11/2018,6°C/12°C,8°C/12°C,5°C/12°C,8°C/12°C,9°C/14°C
58,09/11/2018,7°C/14°C,9°C/14°C,6°C/14°C,9°C/14°C,10°C/12°C
59,23/12/2018,10°C/13°C,8°C/13°C,10°C/13°C,7°C/13°C,11°C/13°C
60,24/12/2018,7°C/13°C,6°C/13°C,8°C/13°C,5°C/13°C,8°C/13°C
61,25/12/2018,2°C/8°C,2°C/5°C,2°C/5°C,1°C/5°C,3°C/6°C
62,26/12/2018,1°C/4°C,1°C/4°C,1°C/4°C,0°C/4°C,2°C/5°C
63,27/12/2018,1°C/3°C,0°C/3°C,1°C/2°C,-1°C/2°C,2°C/3°C
64,28/12/2018,0°C/3°C,-1°C/3°C,-1°C/2°C,-2°C/2°C,0°C/4°C
65,29/12/2018,2°C/5°C,2°C/6°C,1°C/4°C,-0°C/4°C,3°C/7°C
66,30/12/2018,5°C/7°C,5°C/8°C,4°C/7°C,4°C/7°C,6°C/9°C
67,31/12/2018,7°C/9°C,7°C/9°C,7°C/8°C,6°C/8°C,8°C/9°C
68,10/11/2018,12°C/13°C,11°C/13°C,12°C/13°C,11°C/13°C,12°C/13°C
69,11/11/2018,12°C/12°C,11°C/12°C,11°C/12°C,11°C/12°C,11°C/12°C
70,12/11/2018,10°C/11°C,10°C/11°C,11°C/12°C,9°C/12°C,10°C/12°C
71,13/11/2018,11°C/14°C,9°C/13°C,10°C/13°C,9°C/13°C,10°C/13°C
72,14/11/2018,9°C/13°C,7°C/13°C,9°C/14°C,6°C/14°C,9°C/13°C
73,15/11/2018,9°C/12°C,7°C/12°C,9°C/13°C,6°C/13°C,9°C/12°C
74,16/11/2018,6°C/10°C,6°C/10°C,8°C/10°C,5°C/10°C,8°C/10°C
75,17/11/2018,4°C/8°C,2°C/8°C,3°C/8°C,1°C/8°C,4°C/8°C
76,18/11/2018,4°C/8°C,3°C/8°C,3°C/7°C,2°C/7°C,4°C/8°C
77,19/11/2018,2°C/6°C,1°C/5°C,2°C/6°C,-0°C/6°C,2°C/6°C
78,20/11/2018,2°C/4°C,1°C/3°C,2°C/4°C,0°C/4°C,2°C/3°C
79,21/11/2018,1°C/5°C,-1°C/4°C,1°C/5°C,-2°C/5°C,1°C/5°C
80,22/11/2018,2°C/6°C,0°C/5°C,2°C/6°C,-0°C/6°C,2°C/5°C
81,23/11/2018,5°C/8°C,3°C/8°C,5°C/8°C,3°C/8°C,4°C/8°C
82,24/11/2018,7°C/8°C,6°C/8°C,7°C/8°C,7°C/8°C,7°C/8°C
83,25/11/2018,7°C/8°C,6°C/8°C,7°C/8°C,6°C/8°C,6°C/7°C
84,26/11/2018,5°C/7°C,5°C/7°C,6°C/7°C,5°C/7°C,5°C/7°C
85,27/11/2018,5°C/8°C,3°C/8°C,5°C/8°C,3°C/8°C,4°C/8°C
86,28/11/2018,10°C/11°C,8°C/11°C,10°C/11°C,7°C/11°C,10°C/11°C
87,29/11/2018,10°C/13°C,10°C/13°C,10°C/14°C,9°C/14°C,11°C/13°C
88,30/11/2018,9°C/11°C,8°C/11°C,10°C/12°C,7°C/12°C,9°C/11°C
89,01/03/2018,-2°C/3°C,-4°C/3°C,0°C/5°C,-3°C/5°C,-2°C/2°C
90,02/03/2018,2°C/8°C,0°C/8°C,3°C/8°C,0°C/8°C,1°C/8°C
