,Date,Paris,Versailles,Melun,Fontainebleau,Cergy
185,05/07/2018,21°C/25°C,19°C/25°C,21°C/24°C,21°C/24°C,22°C/25°C
186,06/07/2018,23°C/28°C,22°C/28°C,22°C/27°C,22°C/27°C,23°C/28°C
187,07/07/2018,25°C/29°C,23°C/29°C,25°C/28°C,25°C/28°C,25°C/29°C
188,08/07/2018,25°C/29°C,22°C/29°C,25°C/28°C,25°C/28°C,25°C/29°C
189,09/07/2018,22°C/26°C,21°C/26°C,21°C/25°C,21°C/25°C,22°C/26°C
190,10/07/2018,19°C/20°C,16°C/21°C,19°C/20°C,19°C/20°C,19°C/20°C
191,11/07/2018,17°C/20°C,17°C/20°C,17°C/21°C,17°C/21°C,17°C/20°C
192,12/07/2018,21°C/25°C,19°C/25°C,21°C/24°C,21°C/24°C,20°C/25°C
193,13/07/2018,22°C/26°C,20°C/26°C,22°C/26°C,22°C/26°C,20°C/26°C
194,14/07/2018,24°C/28°C,22°C/28°C,24°C/28°C,24°C/28°C,23°C/28°C
195,15/07/2018,25°C/29°C,22°C/29°C,25°C/29°C,25°C/29°C,26°C/29°C
196,16/07/2018,25°C/28°C,21°C/27°C,25°C/28°C,25°C/28°C,24°C/28°C
197,17/07/2018,20°C/25°C,19°C/24°C,22°C/25°C,22°C/25°C,18°C/23°C
198,18/07/2018,20°C/26°C,20°C/26°C,21°C/26°C,21°C/26°C,19°C/26°C
199,19/07/2018,25°C/29°C,22°C/28°C,25°C/28°C,25°C/28°C,24°C/28°C
200,20/07/2018,21°C/25°C,18°C/25°C,23°C/25°C,21°C/25°C,23°C/26°C
201,21/07/2018,21°C/25°C,19°C/25°C,21°C/25°C,21°C/25°C,21°C/25°C
202,22/07/2018,23°C/27°C,21°C/27°C,22°C/26°C,22°C/26°C,23°C/28°C
203,23/07/2018,25°C/31°C,23°C/30°C,25°C/29°C,25°C/29°C,25°C/30°C
204,24/07/2018,27°C/30°C,24°C/29°C,27°C/30°C,27°C/30°C,26°C/29°C
205,25/07/2018,27°C/32°C,25°C/31°C,27°C/32°C,27°C/32°C,26°C/31°C
206,26/07/2018,30°C/35°C,28°C/34°C,30°C/34°C,30°C/34°C,30°C/35°C
207,27/07/2018,29°C/35°C,22°C/34°C,30°C/34°C,29°C/34°C,29°C/34°C
