date,replyCount,retweetCount,likeCount,quoteCount
22/10/2018,64,158,814,11
22/10/2019,65,40,327,9
22/10/2020,21,44,332,3
22/11/2018,90,93,612,8
22/11/2019,511,388,4253,16
22/11/2020,85,497,1077,70
22/12/2018,5,23,162,1
22/12/2019,34,78,453,4
22/12/2020,71,452,880,12
23/01/2019,1135,5225,8297,109
23/01/2020,120,281,1480,21
23/02/2019,55,109,609,18
23/02/2020,22,45,305,1
23/03/2019,13,85,528,1
23/03/2020,130,112,1611,6
23/04/2019,38,58,732,8
23/04/2020,29,109,833,6
23/05/2019,28,28,245,2
23/05/2020,5,14,146,0
23/06/2019,7,2,55,1
23/06/2020,6,1,105,0
23/07/2019,185,94,1076,9
23/07/2020,9,9,171,2
23/08/2019,275,297,2097,26
23/08/2020,29,48,396,1
23/09/2018,16,30,328,3
23/09/2019,79,458,2728,19
23/09/2020,13,22,161,0
23/10/2018,67,111,733,18
23/10/2019,37,52,382,5
23/10/2020,27,51,506,10
23/11/2018,134,224,835,45
23/11/2019,6,10,153,0
23/11/2020,273,1095,2253,216
23/12/2018,150,171,1343,10
23/12/2019,23,46,368,0
23/12/2020,439,2069,3025,49
24/01/2019,123,584,2710,21
24/01/2020,137,103,851,6
24/02/2019,53,56,538,10
24/02/2020,48,63,501,2
24/03/2019,11,58,500,3
24/03/2020,58,78,760,8
24/04/2019,37,15,261,4
24/04/2020,3082,34013,14761,630
24/05/2019,324,98,1043,38
24/05/2020,26,30,473,3
24/06/2019,84,271,1732,10
24/06/2020,44,63,501,13
24/07/2019,8,10,63,0
24/07/2020,20,44,213,1
24/08/2019,1,0,16,0
24/08/2020,9,18,184,0
24/09/2018,16,15,151,2
24/09/2019,154,24,354,13
24/09/2020,56,347,1924,15
24/10/2018,182,49,363,16
24/10/2019,126,400,2316,26
24/10/2020,24,24,294,2
24/11/2018,10,66,359,5
24/11/2019,22,31,467,0
24/11/2020,87,383,1280,47
24/12/2018,66,82,566,5
24/12/2019,92,255,531,27
24/12/2020,91,679,1234,7
25/01/2019,615,1521,6075,43
25/01/2020,198,188,1227,7
25/02/2019,190,268,1358,9
25/02/2020,37,86,884,6
25/03/2019,49,88,679,5
25/03/2020,676,95,1731,20
25/04/2019,19,18,252,2
25/04/2020,14,46,546,1
25/05/2019,25,16,255,2
25/05/2020,532,668,1503,46
25/06/2019,698,102,634,51
25/06/2020,31,118,1181,5
25/07/2019,11,28,170,2
25/07/2020,15,12,151,1
25/08/2019,11,4,73,0
25/08/2020,8,9,171,2
25/09/2018,41,32,214,3
25/09/2019,23,22,80,2
25/09/2020,430,758,4394,49
25/10/2018,127,313,1631,21
25/10/2019,48,97,773,5
25/10/2020,22,27,551,8
25/11/2018,11,29,182,2
25/11/2019,89,82,862,9
25/11/2020,149,496,1711,61
25/12/2018,10,63,269,2
25/12/2019,32,43,394,2
25/12/2020,177,1085,1539,18
26/01/2019,111,276,1427,7
26/01/2020,52,74,619,4
26/02/2019,118,94,893,10
26/02/2020,38,38,319,6
26/03/2019,30,50,476,8
26/03/2020,123,82,958,5
26/04/2019,58,173,586,12
26/04/2020,62,281,1279,13
26/05/2019,130,54,544,14
26/05/2020,622,587,2193,70
26/06/2019,25,41,354,3
26/06/2020,10,13,255,1
26/07/2019,144,25,81,4
26/07/2020,392,296,549,27
26/08/2019,38,432,1713,17
26/08/2020,41,45,629,6
26/09/2018,74,173,811,8
26/09/2019,10,14,111,3
26/09/2020,7,21,172,0
26/10/2018,54,258,1467,13
26/10/2019,6,7,92,0
26/10/2020,37,33,456,3
26/11/2018,71,219,1032,15
26/11/2019,63,116,841,9
26/11/2020,58,436,1083,40
26/12/2018,234,238,2253,12
26/12/2019,119,326,683,49
26/12/2020,112,858,1543,13
27/01/2019,139,673,1749,9
27/01/2020,256,3759,3081,36
27/02/2019,262,1451,2118,17
27/02/2020,57,101,426,6
27/03/2019,48,75,512,5
27/03/2020,33,36,354,2
27/04/2019,11,76,325,2
27/04/2020,33,183,704,4
27/05/2019,12,45,355,4
27/05/2020,376,369,522,24
27/06/2019,65,180,981,10
27/06/2020,4,6,120,0
27/07/2019,91,3,59,5
27/07/2020,15,71,264,4
27/08/2019,25,66,441,5
27/08/2020,10,18,167,1
27/09/2018,48,72,451,4
27/09/2019,26,37,297,4
27/09/2020,16,21,282,4
27/10/2018,94,176,1252,18
27/10/2019,18,21,181,3
27/10/2020,21,25,329,3
27/11/2018,28,49,433,5
27/11/2019,60,460,2520,14
27/11/2020,322,1044,2143,181
27/12/2018,114,36,348,13
27/12/2019,12,22,175,2
27/12/2020,663,2550,3327,50
28/01/2019,301,1344,4567,32
28/01/2020,43,101,454,3
28/02/2019,132,148,1436,6
28/02/2020,14,25,223,2
28/03/2019,177,1974,11509,68
28/03/2020,43,69,574,10
28/04/2019,10,18,211,0
28/04/2020,8,60,408,2
28/05/2019,109,32,318,4
28/05/2020,404,390,565,32
28/06/2019,122,80,556,16
28/06/2020,16,8,251,1
28/07/2019,6,9,82,1
28/07/2020,5,11,124,1
28/08/2019,102,584,3487,30
28/08/2020,9,17,162,0
28/09/2018,53,118,690,3
28/09/2019,3,2,29,0
28/09/2020,28,88,589,1
28/10/2018,79,174,1303,11
